MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,2981,5114,0.46842,0.52732,1,1,0.51865,0.47216
3,7326,11964,0.4687,0.53303,1,1,0.48221,0.48439
5,7407,11426,0.46477,0.52276,0.6667,1,0.50505,0.49718
7,3957,1983,0.456,0.54806,0.75,1,0.62457,0.40276
9,4601,20017,0.4739,0.51996,0.8,1,0.6628,0.42618
11,11662,9685,0.47984,0.51876,0.8333,0.8333,0.57811,0.42579
13,6239,10633,0.48359,0.51752,0.8571,0.8571,0.71776,0.22877
15,7359,6798,0.46452,0.51936,0.875,0.875,0.79688,0.20804
17,12542,6905,0.48574,0.5075,0.8889,0.8889,0.76808,0.23944
19,12904,2131,0.48576,0.52162,0.9,0.9,0.87845,0.09064
21,6404,4273,0.50368,0.51205,0.9091,0.8182,0.90202,0.07529
23,5592,6082,0.4867,0.52009,0.8333,0.8333,0.92223,0.07938
25,12183,20017,0.48858,0.51315,0.8462,0.8462,0.92181,0.08429
27,20093,7373,0.48689,0.50849,0.8571,0.8571,0.90999,0.09494
29,14446,3122,0.4812,0.49622,0.8667,0.8667,0.90276,0.10462
31,7446,2052,0.48879,0.51453,0.875,0.875,0.88291,0.14378
33,6961,20017,0.50275,0.5017,0.8824,0.8824,0.843,0.1582
35,13404,20017,0.50609,0.49846,0.8333,0.8889,0.8498,0.13389
37,20087,20163,0.50155,0.49882,0.8421,0.8947,0.87685,0.12272
39,20234,15035,0.50095,0.50465,0.85,0.9,0.8784,0.12219
41,3513,6625,0.52176,0.4713,0.8571,0.8571,0.87545,0.05909
43,6123,15620,0.49852,0.52742,0.8636,0.8636,0.91092,0.09334
45,20017,8641,0.47404,0.51485,0.8696,0.8696,0.9186,0.0789
47,17060,20017,0.49323,0.50405,0.875,0.875,0.92904,0.06948
49,4356,20017,0.5138,0.49155,0.84,0.84,0.93893,0.06224
51,20017,13877,0.50392,0.51896,0.8462,0.8462,0.93831,0.06273
53,5220,7925,0.49645,0.53768,0.8148,0.8148,0.94222,0.0574
55,8565,12726,0.52483,0.47602,0.8214,0.8214,0.94652,0.06139
57,10970,6462,0.52518,0.45146,0.7931,0.8276,0.94414,0.06286
59,20017,8191,0.53608,0.46273,0.8,0.8333,0.93936,0.05507
61,6318,15859,0.5491,0.4772,0.7742,0.8065,0.936,0.05975
63,5394,4130,0.54498,0.4639,0.7812,0.8125,0.98168,0.02482
65,4126,4666,0.5499,0.43379,0.7576,0.8182,0.98409,0.01963
67,5000,5378,0.60501,0.46783,0.7353,0.8235,0.98533,0.01487
69,7120,7550,0.5106,0.49022,0.7429,0.8286,0.98302,0.02034
71,4491,4789,0.52299,0.45988,0.75,0.8333,0.97839,0.02375
73,2339,6727,0.5577,0.43627,0.7568,0.8108,0.97588,0.03231
75,20017,4626,0.55208,0.49085,0.7632,0.7895,0.97752,0.02478
77,4972,6550,0.61286,0.43088,0.7436,0.7949,0.98294,0.01081
79,13119,11727,0.58911,0.39408,0.75,0.8,0.97825,0.01612
81,6103,5035,0.64862,0.44721,0.7317,0.7805,0.98277,0.03451
83,6842,2431,0.66784,0.37406,0.7143,0.7857,0.98351,0.01931
85,4457,3175,0.58135,0.43429,0.7209,0.7907,0.97944,0.00957
87,5645,3655,0.56922,0.40785,0.7273,0.7955,0.98083,0.01389
89,20017,5206,0.58588,0.39846,0.7333,0.8,0.9747,0.00442
91,5042,3928,0.58603,0.3963,0.7391,0.8043,0.98687,0.01848
93,20017,9630,0.60341,0.40777,0.7447,0.8085,0.98046,0.02414
95,8576,5913,0.60506,0.42598,0.7292,0.8125,0.97632,0.04474
97,6617,20017,0.58638,0.41127,0.7143,0.8163,0.93395,0.07895
99,8715,4900,0.58168,0.42834,0.72,0.82,0.93658,0.0177
101,2240,11756,0.55713,0.4467,0.7255,0.8235,0.97254,0.03993
103,1694,8596,0.52542,0.46882,0.7308,0.8077,0.96347,0.04257
105,2471,5252,0.56645,0.42994,0.7358,0.7925,0.97033,0.0647
107,3427,5468,0.58722,0.40993,0.7407,0.7963,0.97431,0.02664
109,6733,7366,0.62637,0.38131,0.7455,0.8,0.96288,0.0349
111,5700,3867,0.62728,0.37462,0.7321,0.8036,0.9726,0.05045
113,20017,2880,0.60726,0.32284,0.7368,0.807,0.95853,0.03973
115,9747,5618,0.68734,0.30901,0.7414,0.7931,0.96332,0.03817
117,7873,13409,0.67628,0.33226,0.7458,0.7966,0.96805,0.03251
119,7705,8886,0.68339,0.38491,0.7333,0.8,0.96542,0.03863
121,3522,7693,0.64836,0.36524,0.7377,0.8033,0.96538,0.04978
123,15882,16436,0.67539,0.33017,0.7419,0.8065,0.97011,0.02859
125,6730,9789,0.67483,0.33712,0.746,0.8095,0.97466,0.01926
127,3312,7567,0.67774,0.306,0.75,0.7969,0.97942,0.02796
129,7046,8506,0.68474,0.32395,0.7538,0.8,0.98082,0.02146
131,12330,9951,0.68698,0.34015,0.7424,0.7879,0.96952,0.03868
133,3295,,0.66168,,0.7463,,0.97883,
