MoveNo,DBSN,DWSN,DBWR,DWWR,DBTMR,DWTMR,EBWR,EWWR
1,24609,5498,0.46976,0.52452,1,1,0.51675,0.47368
3,6878,11647,0.4656,0.53126,1,1,0.49276,0.51258
5,6049,3087,0.4618,0.51633,1,1,0.4882,0.5707
7,20017,6127,0.46718,0.53488,1,1,0.426,0.553
9,20017,20109,0.46439,0.53575,1,1,0.44515,0.55429
11,20204,3881,0.46425,0.54418,0.8333,1,0.44768,0.62639
13,3026,7873,0.43017,0.54815,0.8571,1,0.44333,0.5803
15,5206,20017,0.46492,0.56007,0.75,1,0.48477,0.52902
17,20149,20276,0.43964,0.56025,0.7778,1,0.4695,0.53134
19,4334,4960,0.45511,0.5703,0.8,0.9,0.47096,0.63515
21,11190,20017,0.42156,0.57805,0.8182,0.8182,0.36579,0.6237
23,14936,9993,0.43916,0.57633,0.8333,0.75,0.37024,0.62708
25,4016,12967,0.39832,0.59814,0.8462,0.6923,0.41432,0.55263
27,3822,2082,0.42539,0.55097,0.8571,0.7143,0.40831,0.5746
29,7973,6154,0.44691,0.54483,0.8667,0.7333,0.43115,0.58743
31,8276,2816,0.46573,0.54706,0.875,0.75,0.38162,0.62854
33,20017,7699,0.46094,0.54156,0.8824,0.7647,0.37339,0.63042
35,3858,1829,0.45111,0.49534,0.8889,0.7778,0.38665,0.73993
37,3926,20017,0.45661,0.54868,0.8947,0.7895,0.29892,0.75179
39,5938,10168,0.47047,0.53768,0.9,0.8,0.24862,0.76054
41,20017,7880,0.4589,0.53644,0.9048,0.8095,0.24284,0.74676
43,3582,10558,0.45277,0.52722,0.9091,0.8182,0.18493,0.81104
45,20017,20017,0.47558,0.4946,0.8696,0.8261,0.22444,0.77506
47,2894,6020,0.44651,0.55482,0.875,0.8333,0.19411,0.79189
49,20017,2084,0.45284,0.52929,0.88,0.84,0.19541,0.80962
51,3729,20017,0.483,0.55907,0.8462,0.8462,0.22253,0.80578
53,5779,4772,0.44717,0.56564,0.8148,0.8148,0.13802,0.84719
55,3623,12964,0.44623,0.55505,0.8214,0.7857,0.05059,0.94172
57,11701,20017,0.4177,0.57987,0.8276,0.7931,0.08014,0.94984
59,2740,20017,0.4365,0.57002,0.8333,0.8,0.05622,0.94659
61,20126,11225,0.43017,0.57531,0.8387,0.8065,0.05196,0.95306
63,20017,20136,0.4252,0.57486,0.8438,0.8125,0.04665,0.95389
65,20230,4585,0.42561,0.59795,0.8485,0.8182,0.04689,0.95624
67,6773,20017,0.43076,0.56666,0.8529,0.8235,0.03443,0.96465
69,20165,20274,0.4333,0.56692,0.8571,0.8286,0.03916,0.95837
71,20379,5268,0.43306,0.56697,0.8611,0.8333,0.0425,0.95728
73,5122,6669,0.42183,0.5754,0.8649,0.8108,0.04113,0.95515
75,5351,10747,0.41699,0.59383,0.8684,0.8158,0.03063,0.95746
77,3564,20017,0.4042,0.61271,0.8462,0.8205,0.03206,0.9617
79,4542,20017,0.40651,0.60072,0.85,0.825,0.04077,0.94728
81,8909,20017,0.40203,0.59803,0.8537,0.8293,0.07287,0.92764
83,14081,20017,0.41004,0.59245,0.8571,0.8333,0.07396,0.92588
85,12485,12335,0.42209,0.59737,0.8605,0.8372,0.07253,0.94028
87,14081,7171,0.4068,0.57366,0.8409,0.8409,0.02532,0.90539
89,20017,6691,0.4241,0.56077,0.8444,0.8444,0.11697,0.89835
91,9563,11863,0.45102,0.56628,0.8478,0.8478,0.10669,0.91096
93,20017,7646,0.4323,0.57196,0.8511,0.8511,0.08727,0.91861
95,12036,4937,0.42326,0.58829,0.8333,0.8542,0.08075,0.97352
97,11160,3944,0.40242,0.61132,0.8367,0.8571,0.0058,0.99374
99,10943,7128,0.39208,0.59944,0.84,0.84,0.00755,0.99556
101,5602,9186,0.3755,0.62353,0.8431,0.8431,0.00518,0.99172
103,7911,6737,0.39734,0.64099,0.8462,0.8462,0.01048,0.99269
105,3329,7542,0.37149,0.63923,0.8491,0.8491,0.01351,0.99451
107,6093,5972,0.3686,0.65041,0.8519,0.8519,0.00738,0.99175
109,20017,14782,0.34485,0.65449,0.8545,0.8545,0.01018,0.99349
111,4524,5156,0.33959,0.66179,0.8571,0.8571,0.00664,0.99578
113,4866,6225,0.35312,0.66383,0.8421,0.8596,0.01249,0.99535
115,12668,8643,0.34423,0.62909,0.8448,0.8621,0.00561,0.99509
117,4799,20017,0.34523,0.64514,0.8475,0.8644,0.00762,0.99341
119,8050,17344,0.35157,0.66292,0.85,0.8667,0.00731,0.99305
121,6879,20017,0.3601,0.64369,0.8525,0.8689,0.00861,0.9913
123,15161,11311,0.36729,0.64498,0.8387,0.8548,0.0061,0.99389
125,11319,5163,0.34432,0.69113,0.8413,0.8413,0.00658,0.99151
127,8845,6727,0.3654,0.66796,0.8438,0.8281,0.00692,0.99413
129,3521,7425,0.31533,0.68151,0.8462,0.8308,0.00728,0.992
131,9422,11385,0.31286,0.68773,0.8485,0.8333,0.01015,0.98598
133,20017,20115,0.31475,0.6854,0.8507,0.8358,0.0208,0.97997
135,14889,6502,0.33626,0.65932,0.8529,0.8382,0.02113,0.97888
137,952,5645,0.31113,0.7182,0.8551,0.8261,0.02382,0.98447
139,1825,5000,0.3698,0.64918,0.8571,0.8286,0.02528,0.95561
141,6287,16403,0.34656,0.71221,0.8592,0.831,0.04253,0.97076
143,4044,20017,0.26273,0.72349,0.8611,0.8333,0.01695,0.98201
145,13408,20017,0.28196,0.71558,0.863,0.8356,0.01994,0.97923
147,20107,20204,0.28423,0.71555,0.8649,0.8378,0.02161,0.97811
149,5142,8458,0.27543,0.72332,0.8667,0.84,0.02177,0.97645
151,13162,3801,0.2883,0.69437,0.8684,0.8421,0.02866,0.9621
153,2740,9722,0.29912,0.76731,0.8701,0.8442,0.02578,0.9709
155,4214,17883,0.23318,0.75843,0.859,0.8462,0.02219,0.97185
157,6822,20017,0.23681,0.76872,0.8608,0.8481,0.03238,0.96578
159,7525,2322,0.22173,0.68964,0.85,0.85,0.02278,0.96223
161,9673,13113,0.34699,0.65637,0.8519,0.8519,0.04538,0.95167
163,20017,3910,0.34119,0.61866,0.8537,0.8537,0.0363,0.96644
165,15957,14734,0.39756,0.60986,0.8554,0.8434,0.03613,0.97192
167,15557,9397,0.39047,0.62627,0.8571,0.8452,0.0317,0.96824
169,20017,15117,0.37895,0.66011,0.8588,0.8471,0.03911,0.96341
171,1198,7025,0.29863,0.69992,0.8605,0.8488,0.02053,0.97322
173,16764,3168,0.32102,0.71199,0.8506,0.8391,0.08237,0.97835
175,4824,7895,0.26177,0.69646,0.8523,0.8409,0.02792,0.96783
177,5152,4310,0.29509,0.642,0.8539,0.8427,0.02356,0.9832
179,6720,5748,0.3679,0.67866,0.8556,0.8444,0.01616,0.98196
181,3046,5275,0.30962,0.68818,0.8571,0.8462,0.0774,0.97854
183,2437,20017,0.31885,0.68818,0.8587,0.8478,0.02659,0.97322
185,20126,20217,0.31212,0.68786,0.8602,0.8495,0.04049,0.96786
187,15455,7729,0.32157,0.70066,0.8617,0.8511,0.02632,0.97679
189,4970,6984,0.30151,0.69438,0.8632,0.8526,0.02516,0.97684
191,20017,3956,0.29831,0.70192,0.8646,0.8542,0.02415,0.98
193,20017,3148,0.28732,0.66142,0.866,0.8557,0.01922,0.96932
195,20017,20112,0.33926,0.66074,0.8673,0.8571,0.04232,0.95437
197,5078,11935,0.37609,0.69659,0.8586,0.8586,0.07055,0.98598
199,3007,1515,0.32904,0.63782,0.85,0.86,0.07338,0.98628
201,1547,6150,0.2914,0.72807,0.8515,0.8515,0.01651,0.97868
203,2214,2972,0.31459,0.66055,0.8529,0.8529,0.11276,0.97842
205,1732,20017,0.29806,0.6404,0.8544,0.8544,0.1,0.87631
207,1123,15954,0.29688,0.79803,0.8558,0.8462,0.07826,0.98992
209,12007,1279,0.2085,0.72628,0.8571,0.8476,0.01096,0.98852
211,20017,20128,0.37377,0.62582,0.8585,0.8491,0.0336,0.95227
213,15148,7362,0.41682,0.75559,0.8505,0.8411,0.01424,0.98661
215,18585,20017,0.35077,0.64751,0.8519,0.8426,0.07366,0.95112
217,2473,20017,0.18568,0.79158,0.8532,0.844,0.0469,0.98271
219,19339,3537,0.21295,0.78261,0.8545,0.8455,0.00597,0.99271
221,20017,11770,0.22746,0.77368,0.8559,0.8468,0.00759,0.99225
